ApplStandard,Brand,Cap,Cap (Second Drum),CEC Cold,CEC Cold (Second Drum),CEC_,CEC_ (Second Drum),Cold Prog,Cold Prog (Second Drum),Cold Wat Cons,Cold Wat Cons (Second Drum),Combination,Combination (Second Drum),Conn_Mode,Conn_Mode (Second Drum),Country,delayStartMode,delayStartMode (Second Drum),Depth,Depth (Second Drum),DetergentType,DetergentType (Second Drum),Height,Height (Second Drum),Hot Wat Cons,Hot Wat Cons (Second Drum),internal_heater,internal_heater (Second Drum),Loading,Loading (Second Drum),MachineAction,MachineAction (Second Drum),Model No,Family Name,N-Standard,New SRI,New SRI (Second Drum),New Star,New Star (Second Drum),postProgenergy,postProgenergy (Second Drum),powerConsMode,powerConsMode (Second Drum),Prog Name,Prog Name (Second Drum),Sold_in,standbyPowerUsage,standbyPowerUsage (Second Drum),Submit_ID,SubmitStatus,Test Prog Time,Test Prog Time (Second Drum),Tot Wat Cons,Tot Wat Cons (Second Drum),Type,Type (Second Drum),WEI,WEI (Second Drum),Width,Width (Second Drum),ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Program Time,Program Time (Second Drum),Hot Water (L),Hot Water (L) (Second Drum),Cold Water (L),Cold Water (L) (Second Drum),Star Rating (old),Star Image Large,Star Image Large (Second Drum),Star Image Small,Star Image Small (Second Drum),Registration Number
AS/NZS 2040.2:2000 (Legacy),Haier,5,,90,,480,,"Warm/cold, Large, Normal Wash",,107.47,,,,Dual,,China,,,,,,,,,20.7,,,,Top,,Agitator,,XQJ50 31A,,AS/NZS 2040.1:2005/Amdt 3:2010,1.59,,1.5,,,,,,"Warm/cold, Large, Normal wash",,New Zealand,,,12656,Approved,60.0,,128.17,,Non-Drum,,0.838,,,,,,Single product class,Available,,,60.0,,136.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,,ZCW0001
AS/NZS 2040.2:2000 (Legacy),INDESIT,5.5,,230,,240,,,,75.0,,,,Dual,,Italy,,,,,,,,,0.0,,,,Front,,Drum,,W93,,AS/NZS 2040.1:2005/Amdt 3:2010,3.5,,3.5,,,,,,"Cotton No 4, 40C",,New Zealand,,,12841,Approved,91.0,,75.0,,Drum,,0.72,,,,,,Single product class,Available,,,90.0,,76.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ZCW0002
AS/NZS 2040.2:2000 (Legacy),INDESIT,6,,266,,277,,,,54.0,,,,Dual,,Italy,,,,,,,,,0.0,,,,Front,,Drum,,WE12,,AS/NZS 2040.1:2005/Amdt 3:2010,3.6,,3.5,,,,,,"Cotton No3, 40 C",,New Zealand,,,12843,Approved,145.0,,55.0,,Drum,,0.58,,,,,,Single product class,Available,,,145.0,,55.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ZCW0003
AS/NZS 2040.2:2000 (Legacy),INDESIT,6,,133,,327,,,,57.0,,,,Dual,,Italy,,,,,,,,,11.0,,,,Front,,Drum,,WD11,,AS/NZS 2040.1:2005/Amdt 3:2010,3.2,,3.0,,,,,,"No 2, 40 C",,New Zealand,,,12844,Approved,122.0,,68.0,,Drum,,0.6,,,,,,Single product class,Available,,,120.0,,72.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ZCW0004
AS/NZS 2040.2:2000 (Legacy),SMEG,6.5,,,,380,,heavy Program,,112.0,,,,Dual,,Chile,,,,,,,,,25.0,,,,Top,,Impeller,,S750,,AS/NZS 2040.1:2005/Amdt 3:2010,2.92,,2.5,,,,,,warm wash,,New Zealand,,,18007,Approved,53.0,,137.0,,Non-Drum,,0.69,,,,,,Single product class,Available,http://www.applico.co.nz/,,53.0,,147.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,,ZCW0006
AS/NZS 2040.2:2000 (Legacy),SMEG,6.5,,,,377,,heavy Program,,105.0,,,,Dual,,Chile,,,,,,,,,25.0,,,,Top,,Impeller,,S650,,AS/NZS 2040.1:2005/Amdt 3:2010,2.93,,2.5,,,,,,warm wash,,New Zealand,,,18008,Approved,62.0,,129.0,,Non-Drum,,0.7,,,,,,Single product class,Available,http://www.applico.co.nz/,,62.0,,128.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png,,ZCW0005
AS/NZS 2040.2:2000 (Legacy),MALBER,6,,,,231,,,,56.7,,,,Cold,,Italy,,,545.0,,,,850.0,,0.5,,,,Front,,Drum,,6,,AS/NZS 2040.1:2005/Amdt 3:2010,3.84,,3.5,,,,,,P3,,"Australia,New Zealand",,,19116,Approved,120.0,,57.2,,Drum,,0.673,,595.0,,,,Single product class,Available,,,120.0,,57.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ZCW0007
AS/NZS 2040.2:2000 (Legacy),CANDY,5,,,,654,,,,62.3,,True,,Dual,,Italy,,,,,Drum,,,,0.5,,,,Front,,Drum,,CB 103 TR,,AS/NZS 2040.1:2005/Amdt 3:2010,0.9468,,1.0,,,,,,"Program 1, Temp  90 C",,New Zealand,,,21310,Approved,124.0,,62.8,,Drum,,0.64,,,,,,Single product class,Available,,,124.0,,63.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,,ZCW0008
AS/NZS 2040.2:2005 (Legacy),ASKO,7,,,,180,,,,59.3,,False,,Cold,,Sweden,True,,595.0,,Drum,,850.0,,0.0,,Yes on the warm wash program only,,Front,,Drum,,W6444,,AS/NZS 2040.1:2005/Amdt 3:2010,5.03,,5.0,,0.21,,0.28,,NORMAL 40 degree,,New Zealand,0.28,,56327,Approved,186.0,,59.3,,Drum,,0.49,,595.0,,,,Single product class,Unavailable,,http://www.asko.org.nz,186.0,,60.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,ZCW0046
AS/NZS 2040.2:2005 (Legacy),ASKO,7,,,,180,,,,59.3,,False,,Cold,,Sweden,True,,595.0,,Drum,,850.0,,0.0,,Yes on the warm wash program only,,Front,,Drum,,W6564,,AS/NZS 2040.1:2005/Amdt 3:2010,5.03,,5.0,,0.21,,0.28,,NORMAL 40 degree,,New Zealand,0.28,,56327,Approved,186.0,,59.3,,Drum,,0.49,,595.0,,,,Single product class,Unavailable,,http://www.asko.org.nz,186.0,,60.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,ZCW0046
AS/NZS 2040.2:2005 (Legacy),ASKO,7,,,,180,,,,59.3,,False,,Cold,,Sweden,True,,595.0,,Drum,,850.0,,0.0,,Yes on the warm wash program only,,Front,,Drum,,W6984,,AS/NZS 2040.1:2005/Amdt 3:2010,5.03,,5.0,,0.21,,0.28,,NORMAL 40 degree,,New Zealand,0.28,,56327,Approved,186.0,,59.3,,Drum,,0.49,,595.0,,,,Single product class,Unavailable,,http://www.asko.org.nz,186.0,,60.0,,,,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,,ZCW0046
